symbol	tumorsuppressor	oncogene
A1CF	FALSE	TRUE
ABCB11	FALSE	FALSE
ABI1	TRUE	FALSE
ABL1	FALSE	TRUE
ABL2	FALSE	TRUE
ABRAXAS1	FALSE	FALSE
ACD	FALSE	FALSE
ACKR3	FALSE	TRUE
ACSL3	FALSE	FALSE
ACSL6	FALSE	FALSE
ACTB	FALSE	FALSE
ACTG1	FALSE	FALSE
ACVR1	FALSE	TRUE
ACVR1B	TRUE	FALSE
ACVR2A	TRUE	FALSE
ADGRA2	FALSE	FALSE
AFDN	FALSE	TRUE
AFF1	FALSE	FALSE
AFF3	FALSE	TRUE
AFF4	FALSE	TRUE
AGO2	FALSE	FALSE
AIP	FALSE	FALSE
AJUBA	FALSE	FALSE
AKAP9	FALSE	FALSE
AKT1	FALSE	TRUE
AKT2	FALSE	TRUE
AKT3	FALSE	TRUE
ALDH2	FALSE	FALSE
ALK	FALSE	TRUE
ALOX12B	FALSE	FALSE
AMER1	TRUE	FALSE
ANK1	FALSE	FALSE
ANKRD11	FALSE	FALSE
APC	TRUE	TRUE
APOB	FALSE	FALSE
APOBEC3B	FALSE	FALSE
AR	TRUE	TRUE
ARAF	FALSE	TRUE
ARFRP1	FALSE	FALSE
ARHGAP26	TRUE	FALSE
ARHGAP35	FALSE	FALSE
ARHGAP5	FALSE	TRUE
ARHGEF10	TRUE	FALSE
ARHGEF10L	TRUE	FALSE
ARHGEF12	TRUE	FALSE
ARHGEF28	FALSE	FALSE
ARID1A	TRUE	FALSE
ARID1B	TRUE	FALSE
ARID2	TRUE	FALSE
ARID3A	FALSE	FALSE
ARID3B	FALSE	FALSE
ARID3C	FALSE	FALSE
ARID4A	FALSE	FALSE
ARID4B	FALSE	FALSE
ARID5A	FALSE	FALSE
ARID5B	FALSE	FALSE
ARNT	FALSE	FALSE
ARTN	FALSE	TRUE
ASPSCR1	FALSE	FALSE
ASXL1	TRUE	FALSE
ASXL2	TRUE	FALSE
ATF1	FALSE	TRUE
ATF2	TRUE	TRUE
ATF3	TRUE	TRUE
ATF7IP	FALSE	FALSE
ATIC	FALSE	FALSE
ATM	TRUE	FALSE
ATP1A1	FALSE	FALSE
ATP2B3	TRUE	FALSE
ATP6AP1	FALSE	FALSE
ATP6V1B2	FALSE	FALSE
ATR	TRUE	FALSE
ATRX	TRUE	FALSE
ATXN2	FALSE	FALSE
AURKA	FALSE	TRUE
AURKB	FALSE	FALSE
AXIN1	TRUE	FALSE
AXIN2	TRUE	FALSE
AXL	FALSE	FALSE
B2M	TRUE	FALSE
BABAM1	FALSE	FALSE
BACH2	FALSE	FALSE
BAP1	TRUE	FALSE
BARD1	TRUE	FALSE
BAX	TRUE	FALSE
BAZ1A	TRUE	FALSE
BBC3	FALSE	FALSE
BCL10	TRUE	FALSE
BCL11A	FALSE	TRUE
BCL11B	FALSE	FALSE
BCL2	FALSE	TRUE
BCL2L1	FALSE	FALSE
BCL2L11	FALSE	FALSE
BCL2L12	FALSE	TRUE
BCL2L2	FALSE	FALSE
BCL3	FALSE	TRUE
BCL6	FALSE	TRUE
BCL6B	TRUE	FALSE
BCL7A	FALSE	FALSE
BCL9	FALSE	TRUE
BCL9L	FALSE	FALSE
BCLAF1	FALSE	FALSE
BCOR	TRUE	FALSE
BCORL1	FALSE	FALSE
BCR	FALSE	TRUE
BECN1	TRUE	FALSE
BIRC3	FALSE	FALSE
BIRC6	FALSE	TRUE
BLM	TRUE	FALSE
BMI1	FALSE	TRUE
BMP5	FALSE	FALSE
BMPR1A	FALSE	FALSE
BRAF	FALSE	TRUE
BRCA1	TRUE	FALSE
BRCA2	TRUE	FALSE
BRD3	FALSE	TRUE
BRD4	FALSE	TRUE
BRINP1	TRUE	FALSE
BRIP1	TRUE	FALSE
BTG1	TRUE	FALSE
BTG2	FALSE	FALSE
BTK	FALSE	FALSE
BUB1B	TRUE	FALSE
C15orf65	FALSE	FALSE
C2orf40	TRUE	FALSE
C2orf44	FALSE	FALSE
CACNA1D	FALSE	TRUE
CAD	FALSE	FALSE
CADM1	TRUE	FALSE
CALR	FALSE	TRUE
CAMTA1	TRUE	FALSE
CANT1	FALSE	FALSE
CARD11	FALSE	TRUE
CARM1	FALSE	FALSE
CARS	TRUE	FALSE
CASC5	FALSE	FALSE
CASP3	TRUE	FALSE
CASP8	TRUE	FALSE
CASP9	TRUE	FALSE
CASR	FALSE	FALSE
CBFA2T3	TRUE	FALSE
CBFB	TRUE	FALSE
CBL	FALSE	TRUE
CBLB	TRUE	FALSE
CBLC	FALSE	FALSE
CCDC6	TRUE	FALSE
CCNB1IP1	TRUE	FALSE
CCNC	TRUE	FALSE
CCND1	TRUE	TRUE
CCND2	FALSE	TRUE
CCND3	FALSE	TRUE
CCNE1	FALSE	TRUE
CCR4	FALSE	TRUE
CCR7	FALSE	TRUE
CD19	FALSE	FALSE
CD209	FALSE	FALSE
CD22	FALSE	FALSE
CD274	TRUE	TRUE
CD276	FALSE	FALSE
CD28	FALSE	TRUE
CD58	FALSE	FALSE
CD70	FALSE	FALSE
CD74	FALSE	TRUE
CD79A	FALSE	TRUE
CD79B	FALSE	TRUE
CDC42	FALSE	FALSE
CDC73	TRUE	TRUE
CDH1	TRUE	TRUE
CDH10	TRUE	FALSE
CDH11	TRUE	FALSE
CDH17	FALSE	TRUE
CDK12	TRUE	FALSE
CDK16	FALSE	TRUE
CDK4	FALSE	TRUE
CDK6	FALSE	TRUE
CDK8	FALSE	TRUE
CDKN1A	TRUE	TRUE
CDKN1B	TRUE	TRUE
CDKN1C	FALSE	FALSE
CDKN2A	TRUE	TRUE
CDKN2B	TRUE	TRUE
CDKN2C	TRUE	FALSE
CDX2	TRUE	TRUE
CEBPA	TRUE	FALSE
CENPA	FALSE	FALSE
CEP57	FALSE	FALSE
CEP89	FALSE	FALSE
CHCHD7	FALSE	FALSE
CHD2	TRUE	FALSE
CHD4	FALSE	TRUE
